subject,descr,acad_groups,acad_orgs,careers,campuses
PLPT,PLPT - Politics-Political Theory,['CGAS'],['POLT'],"['GRAD', 'UGRD']",['MAIN']
PMCC,PMCC - Premodern Cultures and Communities,['CGAS'],['CGASD'],['GRAD'],['MAIN']
POL,POL - Polish,['CGAS'],['SLLT'],['UGRD'],['MAIN']
PORT,PORT - Portuguese,['CGAS'],['SPAN'],['UGRD'],['MAIN']
PPL,"PPL - Political Philosophy, Policy, and Law",['CGAS'],['PHIL'],['UGRD'],['MAIN']
PSHM,PSHM - Professional Studies-Health Sciences Management,['SCPS'],['SCPSD'],"['GRAD', 'UGRD']","['MAIN', 'SCPS']"
PSLP,PSLP - PS-Leadership Program,['SCPS'],['SCPSD'],['GRAD'],['SCPS']
PSPA,PSPA - Professional Studies-Public Administration,['SCPS'],['SCPSD'],['GRAD'],['SCPS']
PSPM,PSPM - Professional Studies-Project Management,['SCPS'],['SCPSD'],['GRAD'],['SCPS']
PSPS,PSPS - Professional Studies - Public Safety,['SCPS'],['SCPSD'],['GRAD'],['SCPS']
PST,PST - Political and Social Thought,['CGAS'],['PST'],['UGRD'],['MAIN']
PSYC,PSYC - Psychology,['CGAS'],['PSYC'],"['GRAD', 'UGRD']","['INTER', 'MAIN']"
RELA,RELA - Religion-African Religions,['CGAS'],['RELG'],"['GRAD', 'UGRD']",['MAIN']
RELB,RELB - Religion-Buddhism,['CGAS'],['RELG'],"['GRAD', 'UGRD']",['MAIN']
RELC,RELC - Religion-Christianity,['CGAS'],['RELG'],"['GRAD', 'UGRD']",['MAIN']
RELG,RELG - Religion-General Religion,['CGAS'],['RELG'],"['GRAD', 'UGRD']",['MAIN']
RELH,RELH - Religion-Hinduism,['CGAS'],['RELG'],"['GRAD', 'UGRD']",['MAIN']
RELI,RELI - Religion-Islam,['CGAS'],['RELG'],"['GRAD', 'UGRD']",['MAIN']
RELJ,RELJ - Religion-Judaism,['CGAS'],['RELG'],"['GRAD', 'UGRD']",['MAIN']
RELS,RELS - Religion-Special Topic,['CGAS'],['RELG'],"['GRAD', 'UGRD']",['MAIN']
RSC,RSC - Regional Studies Consortium,['CGAS'],['CGASD'],['GRAD'],['MAIN']
RUSS,RUSS - Russian,['CGAS'],['SLLT'],"['GRAD', 'UGRD']",['MAIN']
RUTR,RUTR - Russian in Translation,['CGAS'],['SLLT'],['UGRD'],['MAIN']
SANS,SANS - Sanskrit,['CGAS'],['MESA'],"['GRAD', 'UGRD']",['MAIN']
SARC,SARC - Architecture School,['ARCH'],['ARCHD'],['GRAD'],['MAIN']
SAST,SAST - South Asian Studies,['CGAS'],['MESA'],"['GRAD', 'UGRD']",['MAIN']
SATR,SATR - South Asian Literature in Translation,['CGAS'],['MESA'],['UGRD'],['MAIN']
SEC,SEC - CYB SEC Analysis,['SCPS'],['SCPSD'],['UGRD'],['SCPS']
SLAV,SLAV - Slavic,['CGAS'],['SLLT'],"['GRAD', 'UGRD']",['MAIN']
SLFK,SLFK - Slavic Folklore & Oral Literature,['CGAS'],['SLLT'],['UGRD'],['MAIN']
SOC,SOC - Sociology,['CGAS'],['SOC'],"['GRAD', 'UGRD']",['MAIN']
SPAN,SPAN - Spanish,['CGAS'],['SPAN'],"['GRAD', 'UGRD']",['MAIN']
STAT,STAT - Statistics,['CGAS'],['STAT'],"['GRAD', 'UGRD']",['MAIN']
STS,"STS - Science, Technology, and Society",['ENGR'],['STS'],['UGRD'],"['INTER', 'MAIN']"
SWAH,SWAH - Swahili,['CGAS'],['AAS'],['UGRD'],['MAIN']
SYS,SYS - Systems & Information Engineering,['ENGR'],['ESE'],"['GRAD', 'UGRD']",['MAIN']
TURK,TURK - Turkish,['CGAS'],['MESA'],['UGRD'],['MAIN']
UD,UD - Urban Design,['ARCH'],['ARCHDP'],['GRAD'],['MAIN']
UNST,UNST - University Studies,['PROV'],['PROVD'],['UGRD'],['MAIN']
URDU,URDU - Urdu,['CGAS'],['MESA'],"['GRAD', 'UGRD']",['MAIN']
USEM,USEM - University Seminar,['PROV'],['PROVD'],['UGRD'],['MAIN']
WGS,"WGS - Women, Gender, and Sexuality",['CGAS'],['SWAG'],"['GRAD', 'UGRD']",['MAIN']
